class,distance,CI1,CI2,N,label,binned,age,numadj
color,0.15625,0.110795455,0.210227273,352,directed,no,24,3
age,0.6,0.45,0.7625,160,directed,no,24,3
material,0,0,0,14,directed,no,24,3
value,1.014056225,0.951807229,1.084337349,498,directed,no,24,3
shape,0,0,0,14,directed,no,24,3
dimension,0.520183486,0.487155963,0.550458716,1090,directed,no,24,3
physical,0.185185185,0.037037037,0.333333333,27,directed,no,24,3
color,0.242424242,0.176767677,0.318181818,198,produced,no,24,3
age,0.222222222,0.12345679,0.345679012,81,produced,no,24,3
material,0,0,0,6,produced,no,24,3
value,0.662650602,0.572289157,0.746987952,166,produced,no,24,3
shape,0,0,0,7,produced,no,24,3
dimension,0.653370014,0.612104539,0.694635488,727,produced,no,24,3
physical,0.444444444,0.166666667,0.611111111,18,produced,no,24,3
dimension-age-physical,0.523101018,0.489428348,0.556773688,1277,directed,yes,24,3
value,1.014056225,0.953815261,1.084337349,498,directed,yes,24,3
shape-color-material,0.144736842,0.105263158,0.194736842,380,directed,yes,24,3
dimension-age-physical,0.60653753,0.566585956,0.64527845,826,produced,yes,24,3
value,0.662650602,0.572289157,0.746987952,166,produced,yes,24,3
shape-color-material,0.227488152,0.161137441,0.298578199,211,produced,yes,24,3
color,0.145228216,0.091286307,0.215767635,241,directed,no,2,3
age,0.594059406,0.405940594,0.811881188,101,directed,no,2,3
material,0,0,0,9,directed,no,2,3
value,1.135245902,1.040983607,1.25,244,directed,no,2,3
shape,0,0,0,5,directed,no,2,3
dimension,0.57793345,0.534150613,0.61821366,571,directed,no,2,3
physical,0.214285714,0,0.428571429,14,directed,no,2,3
color,0.234899329,0.161073826,0.322147651,149,produced,no,2,3
age,0.266666667,0.1,0.466666667,30,produced,no,2,3
material,0,0,0,5,produced,no,2,3
value,0.652173913,0.52173913,0.77173913,92,produced,no,2,3
shape,0,0,0,5,produced,no,2,3
dimension,0.685714286,0.628571429,0.738095238,420,produced,no,2,3
physical,0.583333333,0.166666667,0.75,12,produced,no,2,3
dimension-age-physical,0.572886297,0.527696793,0.619533528,686,directed,yes,2,3
value,1.135245902,1.036885246,1.245901639,244,directed,yes,2,3
shape-color-material,0.137254902,0.090196078,0.2,255,directed,yes,2,3
dimension-age-physical,0.655844156,0.601731602,0.703463203,462,produced,yes,2,3
value,0.652173913,0.52173913,0.782608696,92,produced,yes,2,3
shape-color-material,0.220125786,0.144654088,0.301886792,159,produced,yes,2,3
color,0.111111111,0.031746032,0.222222222,63,directed,no,3,3
age,0.702702703,0.405405405,1.108108108,37,directed,no,3,3
material,0,0,0,3,directed,no,3,3
value,0.9375,0.84375,1.05625,160,directed,no,3,3
shape,0,0,0,7,directed,no,3,3
dimension,0.429054054,0.368243243,0.483108108,296,directed,no,3,3
physical,0.125,0,0.375,8,directed,no,3,3
color,0.181818182,0.045454545,0.318181818,22,produced,no,3,3
age,0.178571429,0.035714286,0.392857143,28,produced,no,3,3
material,0,0,0,1,produced,no,3,3
value,0.666666667,0.454545455,0.818181818,33,produced,no,3,3
shape,0,0,0,1,produced,no,3,3
dimension,0.605263158,0.521052632,0.684210526,190,produced,no,3,3
physical,0.25,0,0.5,4,produced,no,3,3
dimension-age-physical,0.451612903,0.390029326,0.516129032,341,directed,yes,3,3
value,0.9375,0.84375,1.05625,160,directed,yes,3,3
shape-color-material,0.095890411,0.02739726,0.191780822,73,directed,yes,3,3
dimension-age-physical,0.545045045,0.468468468,0.621621622,222,produced,yes,3,3
value,0.666666667,0.454545455,0.818181818,33,produced,yes,3,3
shape-color-material,0.166666667,0.041666667,0.291666667,24,produced,yes,3,3
color,0.270833333,0.125,0.4375,48,directed,no,4,3
age,0.454545455,0.227272727,0.681818182,22,directed,no,4,3
material,0,0,0,2,directed,no,4,3
value,0.829787234,0.712765957,0.925531915,94,directed,no,4,3
shape,0,0,0,2,directed,no,4,3
dimension,0.493273543,0.417040359,0.565022422,223,directed,no,4,3
physical,0.2,0,0.4,5,directed,no,4,3
color,0.333333333,0.111111111,0.592592593,27,produced,no,4,3
age,0.217391304,0.043478261,0.434782609,23,produced,no,4,3
material,NA,NA,NA,0,produced,no,4,3
value,0.682926829,0.512195122,0.780487805,41,produced,no,4,3
shape,0,0,0,1,produced,no,4,3
dimension,0.615384615,0.504273504,0.709401709,117,produced,no,4,3
physical,0,0,0,2,produced,no,4,3
dimension-age-physical,0.484,0.412,0.552,250,directed,yes,4,3
value,0.829787234,0.712765957,0.925531915,94,directed,yes,4,3
shape-color-material,0.25,0.115384615,0.403846154,52,directed,yes,4,3
dimension-age-physical,0.542253521,0.443661972,0.633802817,142,produced,yes,4,3
value,0.682926829,0.487804878,0.780487805,41,produced,yes,4,3
shape-color-material,0.321428571,0.107142857,0.571428571,28,produced,yes,4,3
age,0.53678969,0.544288225,0.529232572,17070,corpus,no,adult,2
color,0.116879511,0.124236535,0.109522488,7204,corpus,no,adult,2
dimension,0.678009244,0.685446112,0.670440083,14929,corpus,no,adult,2
material,0.041769042,0.052211302,0.032555283,1628,corpus,no,adult,2
physical,0.474110032,0.493527508,0.453883495,2472,corpus,no,adult,2
shape,0.234265734,0.283216783,0.185314685,286,corpus,no,adult,2
value,0.748931975,0.759447913,0.738087414,6086,corpus,no,adult,2
color,0.104651163,0.072674419,0.136627907,344,directed,no,24,2
age,0.237037037,0.162962963,0.311111111,135,directed,no,24,2
material,0,0,0,14,directed,no,24,2
value,0.838074398,0.800875274,0.868708972,457,directed,no,24,2
shape,0,0,0,14,directed,no,24,2
dimension,0.496738117,0.465051258,0.525629077,1073,directed,no,24,2
physical,0.185185185,0.037037037,0.333333333,27,directed,no,24,2
color,0.168421053,0.115789474,0.221052632,190,produced,no,24,2
age,0.153846154,0.076923077,0.230769231,78,produced,no,24,2
material,0,0,0,6,produced,no,24,2
value,0.617283951,0.530864198,0.685185185,162,produced,no,24,2
shape,0,0,0,7,produced,no,24,2
dimension,0.593123209,0.554441261,0.627507163,698,produced,no,24,2
physical,0.444444444,0.166666667,0.611111111,18,produced,no,24,2
dimension-age-physical,0.461538462,0.432388664,0.488259109,1235,directed,yes,24,2
value,0.838074398,0.800875274,0.868708972,457,directed,yes,24,2
shape-color-material,0.096774194,0.067204301,0.126344086,372,directed,yes,24,2
dimension-age-physical,0.546599496,0.511335013,0.579345088,794,produced,yes,24,2
value,0.617283951,0.530864198,0.685185185,162,produced,yes,24,2
shape-color-material,0.157635468,0.108374384,0.206896552,203,produced,yes,24,2
color,0.093220339,0.059322034,0.131355932,236,directed,no,2,2
age,0.168674699,0.084337349,0.253012048,83,directed,no,2,2
material,0,0,0,9,directed,no,2,2
value,0.87962963,0.824074074,0.916666667,216,directed,no,2,2
shape,0,0,0,5,directed,no,2,2
dimension,0.565371025,0.522968198,0.604240283,566,directed,no,2,2
physical,0.214285714,0,0.428571429,14,directed,no,2,2
color,0.160839161,0.104895105,0.223776224,143,produced,no,2,2
age,0.206896552,0.068965517,0.344827586,29,produced,no,2,2
material,0,0,0,5,produced,no,2,2
value,0.584269663,0.471910112,0.674157303,89,produced,no,2,2
shape,0,0,0,5,produced,no,2,2
dimension,0.621890547,0.572139303,0.666666667,402,produced,no,2,2
physical,0.583333333,0.25,0.75,12,produced,no,2,2
dimension-age-physical,0.508295626,0.470588235,0.544494721,663,directed,yes,2,2
value,0.87962963,0.824074074,0.916666667,216,directed,yes,2,2
shape-color-material,0.088,0.056,0.124,250,directed,yes,2,2
dimension-age-physical,0.593679458,0.544018059,0.634311512,443,produced,yes,2,2
value,0.584269663,0.471910112,0.674157303,89,produced,yes,2,2
shape-color-material,0.150326797,0.091503268,0.209150327,153,produced,yes,2,2
color,0.080645161,0.016129032,0.14516129,62,directed,no,3,2
age,0.322580645,0.161290323,0.483870968,31,directed,no,3,2
material,0,0,0,3,directed,no,3,2
value,0.830065359,0.751633987,0.875816993,153,directed,no,3,2
shape,0,0,0,7,directed,no,3,2
dimension,0.412969283,0.354948805,0.464163823,293,directed,no,3,2
physical,0.125,0,0.375,8,directed,no,3,2
color,0.181818182,0.045454545,0.318181818,22,produced,no,3,2
age,0.111111111,0,0.222222222,27,produced,no,3,2
material,0,0,0,1,produced,no,3,2
value,0.625,0.40625,0.75,32,produced,no,3,2
shape,0,0,0,1,produced,no,3,2
dimension,0.535911602,0.458563536,0.602209945,181,produced,no,3,2
physical,0.25,0,0.5,4,produced,no,3,2
dimension-age-physical,0.397590361,0.343373494,0.448795181,332,directed,yes,3,2
value,0.830065359,0.758169935,0.882352941,153,directed,yes,3,2
shape-color-material,0.069444444,0.013888889,0.125,72,directed,yes,3,2
dimension-age-physical,0.476415094,0.405660377,0.537735849,212,produced,yes,3,2
value,0.625,0.40625,0.75,32,produced,yes,3,2
shape-color-material,0.166666667,0.041666667,0.291666667,24,produced,yes,3,2
color,0.195652174,0.086956522,0.304347826,46,directed,no,4,2
age,0.380952381,0.142857143,0.571428571,21,directed,no,4,2
material,0,0,0,2,directed,no,4,2
value,0.75,0.647727273,0.829545455,88,directed,no,4,2
shape,0,0,0,2,directed,no,4,2
dimension,0.429906542,0.359813084,0.490654206,214,directed,no,4,2
physical,0.2,0,0.4,5,directed,no,4,2
color,0.2,0.04,0.36,25,produced,no,4,2
age,0.136363636,0,0.272727273,22,produced,no,4,2
material,NA,NA,NA,0,produced,no,4,2
value,0.682926829,0.487804878,0.804878049,41,produced,no,4,2
shape,0,0,0,1,produced,no,4,2
dimension,0.582608696,0.47826087,0.660869565,115,produced,no,4,2
physical,0,0,0,2,produced,no,4,2
dimension-age-physical,0.420833333,0.354166667,0.479166667,240,directed,yes,4,2
value,0.75,0.636363636,0.818181818,88,directed,yes,4,2
shape-color-material,0.18,0.08,0.28,50,directed,yes,4,2
dimension-age-physical,0.503597122,0.417266187,0.582733813,139,produced,yes,4,2
value,0.682926829,0.512195122,0.780487805,41,produced,yes,4,2
shape-color-material,0.192307692,0.038461538,0.346153846,26,produced,yes,4,2
dimension-age-physical,0.593455368,0.598590119,0.588232862,34471,corpus,yes,adult,2
shape-color-material,0.107150691,0.113511735,0.100789647,9118,corpus,yes,adult,2
value,0.748931975,0.759776536,0.738087414,6086,corpus,yes,adult,2