workerid,trial_type,justification,response,condition,language,enjoyment,gender,age,comments,asses,selfreport,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.justification,Answer.time_in_minutes
0,one_slider_practice,he spent 2 pennies on one car and then 2 on a second according to the narrator and the accompanying pictures.,0.98,NA,english,2,Female,37,,Yes,not sure,3,Windows,768,1366,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3DH6GAKTYYPLSI5JLMN3L82NGPMYZN,0,Submitted,Sat Nov 25 05:45:19 PST 2017,Fri Nov 24 12:53:49 PST 2017,Fri Nov 24 13:05:19 PST 2017,,,,,,[],"""cond4""",undefined,11.316866666666666
0,one_slider_practice,the third dog declared it was too small for table jumping and abstained. ,0,NA,english,2,Female,37,,Yes,not sure,3,Windows,768,1366,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3DH6GAKTYYPLSI5JLMN3L82NGPMYZN,0,Submitted,Sat Nov 25 05:45:19 PST 2017,Fri Nov 24 12:53:49 PST 2017,Fri Nov 24 13:05:19 PST 2017,,,,,,[],"""cond4""",undefined,11.316866666666666
0,one_slider,narrator and pictures demonstrate the second frog did not jump over the rock.,0.99,cond1,english,2,Female,37,,Yes,not sure,3,Windows,768,1366,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3DH6GAKTYYPLSI5JLMN3L82NGPMYZN,0,Submitted,Sat Nov 25 05:45:19 PST 2017,Fri Nov 24 12:53:49 PST 2017,Fri Nov 24 13:05:19 PST 2017,,,,,,[],"""cond4""",undefined,11.316866666666666
0,one_slider,there are only 2 hippos in the story,0.01,cond4,english,2,Female,37,,Yes,not sure,3,Windows,768,1366,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3DH6GAKTYYPLSI5JLMN3L82NGPMYZN,0,Submitted,Sat Nov 25 05:45:19 PST 2017,Fri Nov 24 12:53:49 PST 2017,Fri Nov 24 13:05:19 PST 2017,,,,,,[],"""cond4""",undefined,11.316866666666666
0,one_slider,one butterfly went to the city while the other selected the forest.,0.97,cond1,english,2,Female,37,,Yes,not sure,3,Windows,768,1366,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3DH6GAKTYYPLSI5JLMN3L82NGPMYZN,0,Submitted,Sat Nov 25 05:45:19 PST 2017,Fri Nov 24 12:53:49 PST 2017,Fri Nov 24 13:05:19 PST 2017,,,,,,[],"""cond4""",undefined,11.316866666666666
0,one_slider,one dog rolled his ball while the other did not ,0,cond3,english,2,Female,37,,Yes,not sure,3,Windows,768,1366,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3DH6GAKTYYPLSI5JLMN3L82NGPMYZN,0,Submitted,Sat Nov 25 05:45:19 PST 2017,Fri Nov 24 12:53:49 PST 2017,Fri Nov 24 13:05:19 PST 2017,,,,,,[],"""cond4""",undefined,11.316866666666666
0,one_slider,story stated that only 2 of 4 lions bought cookies.,0.99,cond3,english,2,Female,37,,Yes,not sure,3,Windows,768,1366,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3DH6GAKTYYPLSI5JLMN3L82NGPMYZN,0,Submitted,Sat Nov 25 05:45:19 PST 2017,Fri Nov 24 12:53:49 PST 2017,Fri Nov 24 13:05:19 PST 2017,,,,,,[],"""cond4""",undefined,11.316866666666666
0,one_slider,only 2 of 4 lizards utilized the book for optimal sunning according to story.,0,cond1,english,2,Female,37,,Yes,not sure,3,Windows,768,1366,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3DH6GAKTYYPLSI5JLMN3L82NGPMYZN,0,Submitted,Sat Nov 25 05:45:19 PST 2017,Fri Nov 24 12:53:49 PST 2017,Fri Nov 24 13:05:19 PST 2017,,,,,,[],"""cond4""",undefined,11.316866666666666
0,one_slider,"This depends on your interpretation. Two of the dinosaurs who ate fish did not eat bugs while the other two dinosaurs ate both. So, it probably could be either right or wrong.",0.49,cond4,english,2,Female,37,,Yes,not sure,3,Windows,768,1366,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3DH6GAKTYYPLSI5JLMN3L82NGPMYZN,0,Submitted,Sat Nov 25 05:45:19 PST 2017,Fri Nov 24 12:53:49 PST 2017,Fri Nov 24 13:05:19 PST 2017,,,,,,[],"""cond4""",undefined,11.316866666666666
1,one_slider_practice,Brainy smurf bought a silver car and a yellow car for 2 pennies each.,0.98,NA,English,2,Male,33,,Yes,Trying to determine how people think about statements that can be both true and false,3,iPhone/iPod,568,320,Safari,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3PJ71Z61R429WLC35ZMVUXPKU1P19D,1,Submitted,Sat Nov 25 05:45:22 PST 2017,Fri Nov 24 12:53:55 PST 2017,Fri Nov 24 13:05:22 PST 2017,,,,,,[],"""cond3""",undefined,11.414983333333334
1,one_slider_practice,The third dog did not jump on the table because he was too small.,0.06,NA,English,2,Male,33,,Yes,Trying to determine how people think about statements that can be both true and false,3,iPhone/iPod,568,320,Safari,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3PJ71Z61R429WLC35ZMVUXPKU1P19D,1,Submitted,Sat Nov 25 05:45:22 PST 2017,Fri Nov 24 12:53:55 PST 2017,Fri Nov 24 13:05:22 PST 2017,,,,,,[],"""cond3""",undefined,11.414983333333334
1,one_slider,The two smallest frogs thought the rock was two large to jump over.,0.95,cond3,English,2,Male,33,,Yes,Trying to determine how people think about statements that can be both true and false,3,iPhone/iPod,568,320,Safari,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3PJ71Z61R429WLC35ZMVUXPKU1P19D,1,Submitted,Sat Nov 25 05:45:22 PST 2017,Fri Nov 24 12:53:55 PST 2017,Fri Nov 24 13:05:22 PST 2017,,,,,,[],"""cond3""",undefined,11.414983333333334
1,one_slider,There were only two hippos that drank milk.,0.04,cond4,English,2,Male,33,,Yes,Trying to determine how people think about statements that can be both true and false,3,iPhone/iPod,568,320,Safari,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3PJ71Z61R429WLC35ZMVUXPKU1P19D,1,Submitted,Sat Nov 25 05:45:22 PST 2017,Fri Nov 24 12:53:55 PST 2017,Fri Nov 24 13:05:22 PST 2017,,,,,,[],"""cond3""",undefined,11.414983333333334
1,one_slider,"It&quotechars both correct and incorrect, depending on which two butterflies you&quotecharre using for the puppet&quotechars statement.",0.51,cond4,English,2,Male,33,,Yes,Trying to determine how people think about statements that can be both true and false,3,iPhone/iPod,568,320,Safari,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3PJ71Z61R429WLC35ZMVUXPKU1P19D,1,Submitted,Sat Nov 25 05:45:22 PST 2017,Fri Nov 24 12:53:55 PST 2017,Fri Nov 24 13:05:22 PST 2017,,,,,,[],"""cond3""",undefined,11.414983333333334
1,one_slider,One dog rolled its ball.,0.04,cond4,English,2,Male,33,,Yes,Trying to determine how people think about statements that can be both true and false,3,iPhone/iPod,568,320,Safari,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3PJ71Z61R429WLC35ZMVUXPKU1P19D,1,Submitted,Sat Nov 25 05:45:22 PST 2017,Fri Nov 24 12:53:55 PST 2017,Fri Nov 24 13:05:22 PST 2017,,,,,,[],"""cond3""",undefined,11.414983333333334
1,one_slider,"It&quotechars both correct and incorrect, depending on which lions you are referring to with the statement.",0.54,cond3,English,2,Male,33,,Yes,Trying to determine how people think about statements that can be both true and false,3,iPhone/iPod,568,320,Safari,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3PJ71Z61R429WLC35ZMVUXPKU1P19D,1,Submitted,Sat Nov 25 05:45:22 PST 2017,Fri Nov 24 12:53:55 PST 2017,Fri Nov 24 13:05:22 PST 2017,,,,,,[],"""cond3""",undefined,11.414983333333334
1,one_slider,Two lizards didn&quotechart climb on the book.,0,cond1,English,2,Male,33,,Yes,Trying to determine how people think about statements that can be both true and false,3,iPhone/iPod,568,320,Safari,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3PJ71Z61R429WLC35ZMVUXPKU1P19D,1,Submitted,Sat Nov 25 05:45:22 PST 2017,Fri Nov 24 12:53:55 PST 2017,Fri Nov 24 13:05:22 PST 2017,,,,,,[],"""cond3""",undefined,11.414983333333334
1,one_slider,Two dinosaurs didn&quotechart eat bugs.,1,cond3,English,2,Male,33,,Yes,Trying to determine how people think about statements that can be both true and false,3,iPhone/iPod,568,320,Safari,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3PJ71Z61R429WLC35ZMVUXPKU1P19D,1,Submitted,Sat Nov 25 05:45:22 PST 2017,Fri Nov 24 12:53:55 PST 2017,Fri Nov 24 13:05:22 PST 2017,,,,,,[],"""cond3""",undefined,11.414983333333334
2,one_slider_practice,"In the session, the smurf was shown one car and then a second car, buying each. He then decided he was done.",1,NA,,2,Female,44,,Yes,Perceptions.,-1,Windows,900,1600,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3IUZPWIU1O7MEIBX6K25DWTU189WK0,2,Submitted,Sat Nov 25 05:45:39 PST 2017,Fri Nov 24 12:53:47 PST 2017,Fri Nov 24 13:05:39 PST 2017,,,,,,[],"""cond2""",undefined,11.779683333333333
2,one_slider_practice,The third dog left without jumping on the table.,0.01,NA,,2,Female,44,,Yes,Perceptions.,-1,Windows,900,1600,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3IUZPWIU1O7MEIBX6K25DWTU189WK0,2,Submitted,Sat Nov 25 05:45:39 PST 2017,Fri Nov 24 12:53:47 PST 2017,Fri Nov 24 13:05:39 PST 2017,,,,,,[],"""cond2""",undefined,11.779683333333333
2,one_slider,"One way of interpreting the puppet&quotechars statement is that two of the frogs who jumped over the fence did not jump over the rock. Another way of interpreting it is that in total, four frogs jumped over the fence, not two. It&quotechars ambiguous.",0.71,cond4,,2,Female,44,,Yes,Perceptions.,-1,Windows,900,1600,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3IUZPWIU1O7MEIBX6K25DWTU189WK0,2,Submitted,Sat Nov 25 05:45:39 PST 2017,Fri Nov 24 12:53:47 PST 2017,Fri Nov 24 13:05:39 PST 2017,,,,,,[],"""cond2""",undefined,11.779683333333333
2,one_slider,There were only two hippos in the story.,0.01,cond2,,2,Female,44,,Yes,Perceptions.,-1,Windows,900,1600,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3IUZPWIU1O7MEIBX6K25DWTU189WK0,2,Submitted,Sat Nov 25 05:45:39 PST 2017,Fri Nov 24 12:53:47 PST 2017,Fri Nov 24 13:05:39 PST 2017,,,,,,[],"""cond2""",undefined,11.779683333333333
2,one_slider,"While two did go to the forest, only one went to the city.",0.97,cond2,,2,Female,44,,Yes,Perceptions.,-1,Windows,900,1600,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3IUZPWIU1O7MEIBX6K25DWTU189WK0,2,Submitted,Sat Nov 25 05:45:39 PST 2017,Fri Nov 24 12:53:47 PST 2017,Fri Nov 24 13:05:39 PST 2017,,,,,,[],"""cond2""",undefined,11.779683333333333
2,one_slider,One dog did roll its ball.,0.01,cond4,,2,Female,44,,Yes,Perceptions.,-1,Windows,900,1600,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3IUZPWIU1O7MEIBX6K25DWTU189WK0,2,Submitted,Sat Nov 25 05:45:39 PST 2017,Fri Nov 24 12:53:47 PST 2017,Fri Nov 24 13:05:39 PST 2017,,,,,,[],"""cond2""",undefined,11.779683333333333
2,one_slider,"Two of the four did not purchase, so in one way of interpreting the statement the puppet is right. However, in the story, two of the lions did buy a cookie.",0.47,cond3,,2,Female,44,,Yes,Perceptions.,-1,Windows,900,1600,Chrome,3FULMHZ7OUX28KUMRO418X7MVZUM47,3UFCYGUHNP4CXE3VBIPPD007NZATNX,Judging whether a speaker is right or wrong about a scenario,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong",language research UCI fun cognitive science university explanations,$1.25,Fri Nov 24 12:53:43 PST 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sun Dec 24 12:53:43 PST 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3FULMHZ7OUX28KUMRO418X7MVZUM47,3IUZPWIU1O7MEIBX6K25DWTU189WK0,2,Submitted,Sat Nov 25 05:45:39 PST 2017,Fri Nov 24 12:53:47 PST 2017,Fri Nov 24 13:05:39 PST 2017,,,,,,[],"""cond2""",undefined,11.779683333333333
